"unc_pt","sizeunc_pt","wagebillunc_pt","meanwageunc_pt","residsizeunc_pt","spec","shock_var","has_market","net_pt","selectioncoef","market_pt","sizenet_pt","sizemarket_pt","wagebillnet_pt","wagebillmarket_pt","meanwagenet_pt","meanwagemarket_pt","residsizenet_pt","residsizemarket_pt","seed"
0.0384901287226512,0.0868440402426569,0.110245824307748,0.0231684256897368,0.0870773986180119,"passthrough_construction","log_EBITD",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.0407911237242227,0.0926825901672927,0.123027567833249,0.0303103028315893,0.0927172650016578,"passthrough_construction","log_EBITD",TRUE,0.0376116486921776,0.11709742874618,0.0647640385105486,0.0919647087102004,0.0980953425318247,0.119519780681232,0.149475922242675,0.0274834465742733,0.05162450831733,0.0920363341069577,0.0978514139254418,0
0.159193747132294,0.363563679184503,0.48746242015843,0.123818072655173,0.363644347503257,"passthrough_construction","log_value_added",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.164494783863727,0.369739286018904,0.499023139267017,0.129142418886341,0.369880720380673,"passthrough_construction","log_value_added",TRUE,0.155108728195893,0.134408923531592,0.224940815390741,0.365244313455709,0.39868682936094,0.48871370058558,0.565415740975002,0.123457275571349,0.165754640698787,0.36525642501424,0.399661100276722,0
0.22240101635494,0.6028168992402,0.752590870844752,0.148888747772228,0.603702123072524,"passthrough_construction","log_receipts",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0.230051510659605,0.615352733744964,0.772597144009051,0.156701893760746,0.615895250248311,"passthrough_construction","log_receipts",TRUE,0.221453687632488,0.111181958708225,0.298784786373808,0.625847499444553,0.531454795614565,0.772067256983269,0.776833201313671,0.145924604731764,0.242858398255562,0.626142652251499,0.533974803059001,0
0.0399656070330609,0.0823750725059677,0.107992367775141,0.0244468061251245,0.0835455616500173,"passthrough_construction","log_EBITD",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
0.0450198370605925,0.109822076532866,0.143020589033585,0.0338182020665629,0.109202386967023,"passthrough_construction","log_EBITD",TRUE,0.0391030581428664,0.14282665205158,0.0805293524145167,0.116042420877326,0.072490714979949,0.14275036221737,0.144642353749259,0.0272655278075527,0.0731440397301391,0.115484834409819,0.0714983140191901,1
0.154926955390332,0.340449818880008,0.464744620525081,0.123878410727102,0.340866209797984,"passthrough_construction","log_value_added",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
0.157961567671723,0.338672535839636,0.470086578667772,0.132016918473357,0.338069660194414,"passthrough_construction","log_value_added",TRUE,0.15085799205738,0.139822700722881,0.201662157458383,0.334313842455952,0.365486844845115,0.461186902958992,0.524836622659746,0.127504780824197,0.159775203479651,0.33368212213479,0.365061419180105,1
0.230103299978901,0.619748925167881,0.772373295722039,0.150915649632783,0.621457646089243,"passthrough_construction","log_receipts",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
0.230935287481891,0.629735108473651,0.799525202029128,0.170260657466059,0.629264544563067,"passthrough_construction","log_receipts",TRUE,0.21715688366272,0.113754092552812,0.338281350571755,0.635711545013857,0.583173333806781,0.793917777605572,0.843212042961534,0.158887034466603,0.258871331683739,0.635030743138973,0.584340711277143,1
0.0417613502303285,0.106095297796101,0.128416489924953,0.0210866155913253,0.107329874333626,"passthrough_construction","log_EBITD",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
0.0414060101837792,0.111933631161537,0.14106252381098,0.0291995823454171,0.111862941465562,"passthrough_construction","log_EBITD",TRUE,0.0404730884620299,0.138270244407595,0.0472201780165901,0.113078970884452,0.104795628884031,0.137119603623473,0.165635646278928,0.0240922276772969,0.0610297097075378,0.113027375946177,0.104605936571411,2
0.151740445162881,0.353499390278678,0.466252843318356,0.111740987745254,0.354511855573098,"passthrough_construction","log_value_added",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
0.150522363704714,0.348567195660999,0.457288680532671,0.108862890700253,0.348425789832409,"passthrough_construction","log_value_added",TRUE,0.139648556637549,0.128979442006564,0.223955070125288,0.344131206492151,0.37852420044386,0.444673046073858,0.542484249646641,0.100772261238308,0.163500315694734,0.343900784835553,0.378983933951804,2
0.223394191635215,0.601095050197468,0.744999264955891,0.141153746433183,0.603845518522706,"passthrough_construction","log_receipts",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
0.231132052647106,0.603881934624151,0.757214559301983,0.153262237482302,0.603952321819681,"passthrough_construction","log_receipts",TRUE,0.222882482696852,0.133322254547291,0.28475939873211,0.618575466989529,0.508364816748055,0.762250039286353,0.724480801123846,0.143693257677544,0.215466569922003,0.618556781608812,0.509014231202071,2
0.0338626234342812,0.0749339405309479,0.0934342240198437,0.0184055983702941,0.0750286256495489,"passthrough_construction","log_EBITD",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
0.042376486813772,0.101768116929179,0.142928384673332,0.0416656420259205,0.101262742647411,"passthrough_construction","log_EBITD",TRUE,0.0400045060625238,0.0601749582958474,0.0794225766091867,0.0987074409043349,0.149570393061259,0.135377856351908,0.260854109851009,0.037093731552517,0.113070692781566,0.0982841247993906,0.147783417069412,3
0.148272185265238,0.335190124062699,0.450129012133727,0.115216296106127,0.334912716027601,"passthrough_construction","log_value_added",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
