"event_time","wages","va","wagesnet","vanet","wagesmean","vamean"
-6,0.00473298575316511,0.00823186321933124,0.00348208858198391,0.00994945546414907,0.00200855972916452,0.00795904447500663
-5,-0.000512566883817512,-0.00139772272074549,0.000882654971473355,-0.000745978075056374,-0.00479092503041395,-0.00638238753532117
-4,-0.00039852699828562,0.00463826760554317,0.000961899705645291,0.00320930399573933,-0.0051363498824268,-0.00858001576297391
-3,0.000951605713176424,0.0106701755253574,0.00223255128753929,0.00907517442430575,-0.00687480949321618,-0.009839386875387
-2,0.00230606816541962,0.00887003386999277,0.00253285040622184,0.00578279774344399,-0.00358076465147871,-0.0074632138371193
-1,0.00663846100903435,0.00488260303249071,0.00527578654975547,-0.0145207611307891,0.0014484608372276,0.00945842511223215
0,0.0470781331014213,0.304738014983444,0.0364814363865896,0.262329143844789,0.0232183955775585,0.13409124048008
1,0.0593073529266988,0.297815921445422,0.0440394935658475,0.243916672005888,0.0332626575890697,0.14807120741708
2,0.0571949814179841,0.29165661622389,0.0417515611294809,0.240911695780114,0.0356226130234759,0.152809378628161
3,0.0557628632579243,0.304265615273683,0.0404319822725554,0.247440652950841,0.0356949226817464,0.14973806691411
4,0.056805572104463,0.306700596151919,0.0404251645275631,0.255310053884557,0.0350214471121731,0.139097244738912
5,0.0555985752058684,0.304458788523292,0.0389988656069105,0.251751735292341,0.0352725329759933,0.13272557970731
6,0.0547598954334834,0.293651482135303,0.0381672093905597,0.267011362394273,0.0355249739360255,0.113691305244835
