"x_var","psi_var","psi_x_cov","w_var","y_var","net_w_var","interactions_var","interactions_cov_with_x_plus_psi","timevarying","w_mean","c_r","Nw_t","beta_model","lambda_ct","G_constant","welfare_prefs_pw","profits_pw","y_mean","y_pw","mean_log_profits","gvtRevenue_pw","netWageBill_pw","withinX_var_gjX","mean_gjX","welfare_wage","welfare_taxesAndProfits","welfare_total","Psif","ptf","Psim","ptm","wedge","type","shrink"
0.282918862894539,0.0188460064874892,0.032629310839575,0.381478923754857,9.24595952807479,0.319716216729428,0.0135130962255247,-0.00141670329682145,0.0033226220053325,10.7627900790785,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.91728247229102,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35916.4235135288,22776.2130278267,0.162853017331633,-11.5701178190159,59.6651538143179,5.36521646179896,65.0303702761169,0.120557166734179,0.133564775768813,0.159031284756994,0.179554151230399,1.15458148411822,"theta",0
0.282918862894539,0.0188460064874892,0.032629310839575,0.381478923754857,9.24595952807479,0.319716216729428,0.0135130962255247,-0.00141670329682145,0.0033226220053325,10.7627900790785,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.91728247229102,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35916.4235135288,22776.2130278267,0.162853017331633,-11.5701178190159,59.6651538143179,5.36521646179896,65.0303702761169,0.120557166734179,0.133564775768813,0.159031284756994,0.179554151230399,1.15458148411822,"G",0
0.282918346797645,0.018286888893365,0.028777723500373,0.368088023262646,9.1738642928082,0.308493347581577,0.0132624641309976,-0.00381009196679423,0.00323869898791574,10.7559988720604,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.89606370213217,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35304.7446262866,22467.6646429951,0.162887846615842,-11.5680433138274,59.643935044159,5.43329458896002,65.0772296331191,0.120433648759259,0.133572146808314,0.158909129102982,0.179554151230399,1.15459053515198,"theta",0.1
0.282918781191364,0.0191644363631948,0.0338376896429811,0.383842996281951,9.32711354894287,0.321697538048615,0.0133923173695741,-0.00163290584594703,0.00347187384670817,10.7613656402565,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.90833415410311,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35944.3986567691,22784.2656687495,0.161451979759237,-11.5726221488396,59.65620549613,5.36345210072003,65.01965759685,0.120415983436178,0.133545511610929,0.158908886761333,0.179554151230399,1.15455481734158,"G",0.1
0.282917905119447,0.0177952831960258,0.024759423218773,0.354489171731948,9.1031500961981,0.297096195360212,0.0130804528400199,-0.0062116855861743,0.00315772300463912,10.7488595795767,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.87778366719535,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,34683.8589076322,22153.26469422,0.162911439066698,-11.5656996655979,59.6256550092222,5.50363233569151,65.1292873449137,0.120292217478965,0.133572443039195,0.158771204368344,0.179554151230399,1.15459016337767,"theta",0.2
0.282918669422892,0.0195752612340472,0.0351612953096492,0.386379328983418,9.41576788206554,0.323823230046803,0.01334647289707,-0.00194381960338052,0.00358530804199278,10.7597186018827,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.9045757507114,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35969.3192038938,22790.1365301357,0.159989751408315,-11.576436558703,59.6524470927383,5.36216616796912,65.0146132607074,0.120183118855023,0.133504476754944,0.158702185840181,0.179554151230399,1.15449894480903,"G",0.2
0.28291753432558,0.0173783175369776,0.0206017410726361,0.340859946221751,9.0350123858169,0.28567358680777,0.0129686425145151,-0.0085645250949114,0.00307973133149276,10.7414436743144,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.86253682281674,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,34061.7374065085,21836.9748337371,0.162903377047906,-11.5631031840063,59.6104081648436,5.57540744059568,65.1858156054393,0.120132511763011,0.133565223429341,0.158617182183775,0.179554151230399,1.15457979143996,"theta",0.3
0.282918534572685,0.0200822543877325,0.0366227648975651,0.389034314232099,9.5113603103124,0.326048364349867,0.0133654648368722,-0.00240669448948719,0.00368393538176812,10.7577898370245,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.90619144475505,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35986.6581733772,22791.5697793844,0.15839675558949,-11.5814944457704,59.6540627867819,5.36185228442086,65.0159150712028,0.11985940037506,0.133441742682668,0.158411887764099,0.179554151230399,1.15441397036324,"G",0.3
0.282917229288368,0.0170408429499952,0.0163411425120539,0.327398925706843,8.9706464962102,0.27439195030218,0.0129250509394895,-0.0108071517410681,0.00300442693569453,10.7338404416991,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.85038859124424,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,33447.103071752,21523.1882994064,0.162841620216179,-11.5602849060899,59.5982599332711,5.64764921185937,65.2459091451305,0.119954693893459,0.133550248372396,0.158447183098243,0.179554151230399,1.1545591111359,"theta",0.4
0.282918382386696,0.0206884059930171,0.0382484064089303,0.391797110046667,9.61214821150265,0.328363854329546,0.0134430678076892,-0.00305892479851155,0.00378152281314628,10.7555327264975,-0.380973681181521,29629922,4.99122805075596,0.9154762,-57.7478713420269,1.91354623450369,66729.4136670066,13.7410607509921,210597.869438158,12.5813327105396,35993.777319844,22787.2205806502,0.156602260256286,-11.5877493146922,59.6614175765306,5.36280482583825,65.0242224023688,0.119440597888144,0.133356244271825,0.158033906783323,0.179554151230399,1.15429848024733,"G",0.4
