"Xq","cluster","size","FE","WE","type","shrink"
1,2,0.0508510967567786,10.5040563384957,-0.710221660361406,"G",0.5
1,3,0.0368998283671501,10.6208314786732,-0.69695629570225,"G",0.5
1,4,0.0269282382351288,10.6840410525613,-0.690319396390859,"G",0.5
1,5,0.00797206223968134,10.7375711379747,-0.673003204078393,"G",0.5
1,6,0.0131924949526678,10.7457701365921,-0.686661825683344,"G",0.5
1,7,0.00783993221922454,10.8050616269601,-0.674872039287173,"G",0.5
1,8,0.00342316215403249,10.8345481928327,-0.663547970193304,"G",0.5
1,9,0.00140742202352455,10.8986672677402,-0.657201457819848,"G",0.5
1,10,0.000330128839765109,10.9386893630358,-0.645218049448453,"G",0.5
2,1,0.0162781906797837,10.3710976212825,-0.311599181324015,"G",0.5
2,2,0.0322555333955253,10.5017194759937,-0.306771045971468,"G",0.5
2,3,0.0404053863613029,10.6184744049444,-0.304547188484178,"G",0.5
2,4,0.037864818379204,10.6815282298461,-0.301734300329799,"G",0.5
2,5,0.0160164125084735,10.7348414617264,-0.304616374987398,"G",0.5
2,6,0.0227968823884359,10.7435580810808,-0.299456263538149,"G",0.5
2,7,0.0182807060849367,10.8026230782208,-0.298484297512425,"G",0.5
2,8,0.0101353122561483,10.8316466556518,-0.297217382577393,"G",0.5
2,9,0.00468539333217881,10.8963727854715,-0.294330111820022,"G",0.5
2,10,0.00128136372827242,10.9348133936911,-0.294664163545988,"G",0.5
3,1,0.00655859319666213,10.3698222712173,-0.0419374656659332,"G",0.5
3,2,0.0194160103407539,10.5013876648149,-0.0397503468450526,"G",0.5
3,3,0.032183179305262,10.6177285131055,-0.0391667215699015,"G",0.5
3,4,0.0369013600429678,10.6806641562294,-0.0372331741135477,"G",0.5
3,5,0.0182501680443599,10.733801622196,-0.0380244912796677,"G",0.5
3,6,0.0275175704105093,10.742337426104,-0.0343135709513485,"G",0.5
3,7,0.0273454350294833,10.8010969243969,-0.0336121268011302,"G",0.5
3,8,0.018362615709033,10.8300705472091,-0.032902503353416,"G",0.5
3,9,0.0103391280836354,10.8941546620356,-0.0307831119882162,"G",0.5
3,10,0.00312595223767276,10.9327770746617,-0.0297454317269322,"G",0.5
4,1,0.00314481961717646,10.3683358281327,0.234000860483133,"G",0.5
4,2,0.0118390812878129,10.5006293132424,0.233846742565551,"G",0.5
4,3,0.0229186530002717,10.6172163024528,0.233665155618494,"G",0.5
4,4,0.0282262876521596,10.6803251992941,0.233112104833812,"G",0.5
4,5,0.0212950832364534,10.7323093948941,0.24006877103732,"G",0.5
4,6,0.0236328832378344,10.7417727376108,0.233078456960188,"G",0.5
4,7,0.0323847134589645,10.79971532413,0.236722455783266,"G",0.5
4,8,0.0282219610825387,10.8278992710609,0.240011566352347,"G",0.5
4,9,0.0209019358255657,10.8913731408137,0.243180970029077,"G",0.5
4,10,0.00743458071548423,10.9290296464966,0.2463381088391,"G",0.5
5,1,0.00164818154504704,10.3658956963175,0.842212401271778,"G",0.5
5,2,0.00678944523049871,10.4990187502789,0.825892587397327,"G",0.5
5,3,0.015629678334372,10.6165019429597,0.816428100684621,"G",0.5
5,4,0.0173058050359222,10.6800773820933,0.797623487727401,"G",0.5
5,5,0.0306323082558185,10.7317766051326,0.836754537847065,"G",0.5
5,6,0.0130445783605265,10.7420800115549,0.784347240510047,"G",0.5
5,7,0.0273497589335767,10.7998063114953,0.794656674851413,"G",0.5
5,8,0.0349738014026736,10.8269182352544,0.806978683311267,"G",0.5
5,9,0.0317524450027811,10.8896329480961,0.793971249513203,"G",0.5
5,10,0.0208740058704306,10.9255963539009,0.846586483310551,"G",0.5
