"Xq","cluster","size","FE","WE","type","shrink"
1,1,0.0306288222421102,10.3735807592767,-0.723806036440612,"baseline",0
1,2,0.0492675569905166,10.5040563384957,-0.710221660361406,"baseline",0
1,3,0.0460337898589185,10.6208314786732,-0.69695629570225,"baseline",0
1,4,0.0307798897229801,10.6840410525613,-0.690319396390859,"baseline",0
1,5,0.015054042208434,10.7375711379747,-0.673003204078393,"baseline",0
1,6,0.0128258394451814,10.7457701365921,-0.686661825683344,"baseline",0
1,7,0.00935291013778141,10.8050616269601,-0.674872039287173,"baseline",0
1,8,0.00419223326314864,10.8345481928327,-0.663547970193304,"baseline",0
1,9,0.0014818385930502,10.8986672677402,-0.657201457819848,"baseline",0
1,10,0.000383058937369694,10.9386893630358,-0.645218049448453,"baseline",0
2,1,0.00866926496477295,10.3710976212825,-0.311599181324015,"baseline",0
2,2,0.0237849230553314,10.5017194759937,-0.306771045971468,"baseline",0
2,3,0.0391922658277283,10.6184744049444,-0.304547188484178,"baseline",0
2,4,0.0396906816760018,10.6815282298461,-0.301734300329799,"baseline",0
2,5,0.0231564753903239,10.7348414617264,-0.304616374987398,"baseline",0
2,6,0.0241614689325361,10.7435580810808,-0.299456263538149,"baseline",0
2,7,0.0221889168738599,10.8026230782208,-0.298484297512425,"baseline",0
2,8,0.0126787650696516,10.8316466556518,-0.297217382577393,"baseline",0
2,9,0.00501971163212159,10.8963727854715,-0.294330111820022,"baseline",0
2,10,0.0014575256919339,10.9348133936911,-0.294664163545988,"baseline",0
3,1,0.00381058152703301,10.3698222712173,-0.0419374656659332,"baseline",0
3,2,0.0138094420203788,10.5013876648149,-0.0397503468450526,"baseline",0
3,3,0.0259674361347905,10.6177285131055,-0.0391667215699015,"baseline",0
3,4,0.0345881643480055,10.6806641562294,-0.0372331741135477,"baseline",0
3,5,0.0189160842720926,10.733801622196,-0.0380244912796677,"baseline",0
3,6,0.0300572493076343,10.742337426104,-0.0343135709513485,"baseline",0
3,7,0.033127297131789,10.8010969243969,-0.0336121268011302,"baseline",0
3,8,0.023497984703721,10.8300705472091,-0.032902503353416,"baseline",0
3,9,0.012428475708497,10.8941546620356,-0.0307831119882162,"baseline",0
3,10,0.00379729724639764,10.9327770746617,-0.0297454317269322,"baseline",0
4,1,0.002261297418227,10.3683358281327,0.234000860483133,"baseline",0
4,2,0.0093140725049562,10.5006293132424,0.233846742565551,"baseline",0
4,3,0.016979809743481,10.6172163024528,0.233665155618494,"baseline",0
4,4,0.0237342131451136,10.6803251992941,0.233112104833812,"baseline",0
4,5,0.01680004955116,10.7323093948941,0.24006877103732,"baseline",0
4,6,0.0236876048060442,10.7417727376108,0.233078456960188,"baseline",0
4,7,0.0348780501940655,10.79971532413,0.236722455783266,"baseline",0
4,8,0.0340627627468646,10.8278992710609,0.240011566352347,"baseline",0
4,9,0.0282139393634432,10.8913731408137,0.243180970029077,"baseline",0
4,10,0.0100681996409062,10.9290296464966,0.2463381088391,"baseline",0
5,1,0.00313415816283151,10.3658956963175,0.842212401271778,"baseline",0
5,2,0.010891005946757,10.4990187502789,0.825892587397327,"baseline",0
5,3,0.0163103369798398,10.6165019429597,0.816428100684621,"baseline",0
5,4,0.0176998691535353,10.6800773820933,0.797623487727401,"baseline",0
5,5,0.0219531518516906,10.7317766051326,0.836754537847065,"baseline",0
5,6,0.0138820959564018,10.7420800115549,0.784347240510047,"baseline",0
5,7,0.0257586774237825,10.7998063114953,0.794656674851413,"baseline",0
5,8,0.0337784957674608,10.8269182352544,0.806978683311267,"baseline",0
5,9,0.0328576136767428,10.8896329480961,0.793971249513203,"baseline",0
5,10,0.0237346030526047,10.9255963539009,0.846586483310551,"baseline",0
1,1,0.0176669325070607,10.3735807592767,-0.723806036440612,"theta",0.5
1,2,0.0342755696073564,10.5040563384957,-0.710221660361406,"theta",0.5
1,3,0.0470359979826198,10.6208314786732,-0.69695629570225,"theta",0.5
1,4,0.0326419443868187,10.6840410525613,-0.690319396390859,"theta",0.5
1,5,0.0278072761645375,10.7375711379747,-0.673003204078393,"theta",0.5
1,6,0.0138480537979888,10.7457701365921,-0.686661825683344,"theta",0.5
1,7,0.0141556889718237,10.8050616269601,-0.674872039287173,"theta",0.5
1,8,0.0080619471517776,10.8345481928327,-0.663547970193304,"theta",0.5
1,9,0.00340993238405914,10.8986672677402,-0.657201457819848,"theta",0.5
1,10,0.0010966384454485,10.9386893630358,-0.645218049448453,"theta",0.5
2,1,0.00619480636815217,10.3710976212825,-0.311599181324015,"theta",0.5
2,2,0.0185662696496316,10.5017194759937,-0.306771045971468,"theta",0.5
2,3,0.0362830090464519,10.6184744049444,-0.304547188484178,"theta",0.5
2,4,0.0375080761081273,10.6815282298461,-0.301734300329799,"theta",0.5
2,5,0.0283179495129403,10.7348414617264,-0.304616374987398,"theta",0.5
2,6,0.0232565439887795,10.7435580810808,-0.299456263538149,"theta",0.5
2,7,0.0248826561792812,10.8026230782208,-0.298484297512425,"theta",0.5
