"step","workeryears","workers","firms","years","spells","Ew","ElogVA","markets","broad_market"
"firmsPerMarket",8193219,798575,13884,15,2588628,10.9450024321979,18.0377978007815,197,"Midwest_Goods"
"firmsPerMarket",5516855,532507,10896,15,1777928,10.9907021490927,17.562678063083,111,"Northeast_Goods"
"firmsPerMarket",4174610,416549,9409,15,1237821,10.9666419157552,17.4618506433507,216,"South_Goods"
"firmsPerMarket",3641262,354518,9767,15,1150115,10.9852452366556,16.5569479103987,104,"West_Goods"
"firmsPerMarket",7517035,740091,18083,15,2315238,10.897927433224,17.4484969022227,335,"Midwest_Services"
"firmsPerMarket",7901029,764699,19475,15,2527212,11.0123508081347,17.2325177251189,213,"Northeast_Services"
"firmsPerMarket",8712533,865629,19626,15,2609997,10.9625726238955,17.8916826569291,438,"South_Services"
"firmsPerMarket",7295246,724155,16185,15,2207552,11.0478726222046,17.933759925138,219,"West_Services"
