"broad_market","unc_pt","net_pt","selectioncoef","market_pt","sizeunc_pt","sizenet_pt","sizemarket_pt","ma","ElogWB","ElogVA","labor_share","EWB_pc","EVA_pc","EPi_pc","Ew","workers","firms","markets","workeryears","firmyears","workers_per_firm","workers_per_market","firms_per_market","market_pt_het","beta_het","beta","rho","alpha","PsiFirm","PsiMarket","Rw_firm","Rw_market","Rf_firm","Rf_market","Rw_firm_wageshare","Rw_market_wageshare","Rf_firm_profitshare","Rf_market_profitshare","Rw_firm_share","Rw_market_share","model"
"Midwest_Goods",0.15448559463448,0.15624499928165,0.31478201482791,0.191702478106085,0.449097396066747,0.491795218672262,0.356152708644105,"ma1",16.8977828102736,17.3600066919858,0.629881305249847,43647.5227201453,91198.6607551234,47551.1380349781,10.7619302194386,9318.707,294.879,5628,42908.008,1945.136,22.0591300556876,573.720841300191,26.0083167310701,0.150655719831339,5.63765040663252,4.21641665710038,0.780788282142218,0.253478433059854,0.0855338289609138,0.113125422559358,6819.70715605491,8367.33826864349,4067.23090758062,5379.24258338525,0.15624499928165,0.191702478106085,0.0855338289609138,0.113125422559358,0.626411863114575,0.608685051120084,"1inner"
"Midwest_Services",0.137180360776649,0.127200489060273,0.183303586326251,0.191702478106085,0.500564396216945,0.480461499074283,0.590131459962943,"ma1",15.759532795866,16.17535253562,0.659799195330602,34054.2400230125,90504.7263123055,56450.486289293,10.6132599397728,17314.497,1051.548,14932,69044.54,6636.19,10.4042440014526,352.320190232228,33.8631226048752,0.181644986936357,4.50524414059592,4.21641665710038,0.614494227073517,0.244042661504005,0.0660508417763854,0.111718365483875,4331.71598550313,6528.2822024309,3728.60213809411,6306.55605900969,0.127200489060273,0.191702478106085,0.0660508417763854,0.111718365483875,0.537412533733833,0.50863766799802,"1inner"
"Northeast_Goods",0.127608268405691,0.13389263805764,0.336101169194063,0.191702478106085,0.437894518964335,0.453546047096195,0.406978139673383,"ma1",16.3886953807172,16.7996674212059,0.663005468650446,50693.4613893221,107545.252738537,56851.791349215,10.8110643183006,6088.53,232.717,1282,26699.951,1498.971,17.8121864932677,1449.11538670285,81.3552781546811,0.115194786850967,7.68094839477197,4.21641665710038,0.651821210829191,0.234499673154182,0.0767034425678768,0.121304774636796,6787.48127768946,9718.06217210817,4360.72811263543,6896.39373731469,0.13389263805764,0.191702478106085,0.0767034425678768,0.121304774636796,0.608840490884577,0.58491606496705,"1inner"
"Northeast_Services",0.116023668679065,0.111623320810498,0.215694337114563,0.191702478106085,0.34980405703927,0.363891324961061,0.298580069641972,"ma1",15.6231526616779,16.0402269493291,0.658971964646319,44194.9394557935,111126.271847549,66931.3323917557,10.7360144405713,15167.028,1054.944,3553,62386.621,6411.649,9.73019904863788,1237.43694462076,127.174884957156,0.132024171047845,6.57437060246797,4.21641665710038,0.529787015138258,0.258229104744709,0.0482095099954135,0.095971980910074,4933.18590507458,8472.27941342399,3226.72673794669,6423.53255458739,0.111623320810498,0.191702478106085,0.0482095099954135,0.095971980910074,0.604563568372716,0.56876922396833,"1inner"
"South_Goods",0.147980089582701,0.140881405706214,0.264795508935682,0.191702478106085,0.335907109143236,0.342162575016828,0.31853881380157,"ma1",16.3820738992734,16.6753867272013,0.745788800636293,42172.3421014174,85152.1569271546,42979.8148257372,10.6984065269051,10215.128,439.641,7647,40312.311,2497.237,16.1427653843027,402.153919055077,24.9123312816113,0.167689578945208,4.96339979079287,4.21641665710038,0.691423407246455,0.131914027248651,0.189846887323283,0.258341161747078,5941.29883717102,8084.54248837928,8159.5840623973,11103.4552937552,0.140881405706214,0.191702478106085,0.189846887323283,0.258341161747078,0.421342328667441,0.42133330325411,"1inner"
"South_Services",0.165330547059319,0.157728431866876,0.183961358531561,0.191702478106085,0.62013696388075,0.661711419731794,0.435715829231689,"ma1",15.5794108399581,15.9361734443417,0.699938640378019,35764.0437730022,94210.3362882382,58446.292515236,10.6194086814555,26519.284,1908.178,20697,103227.384,10829.661,9.53191277178482,386.175386353519,40.5139446404322,0.199052953784005,4.0237888008691,4.21641665710038,0.789589501276749,0.168986978950961,0.159500693247949,0.199849523452639,5641.00654153396,6856.05581837901,9322.22417395257,11680.4637067435,0.157728431866876,0.191702478106085,0.159500693247949,0.199849523452639,0.376991215920748,0.36986748289435,"1inner"
"West_Goods",0.175861710615169,0.17027784968257,0.221664816911901,0.191702478106085,0.44397879003833,0.46863176569489,0.357414406079913,"ma1",16.4043584084798,16.640664425731,0.789539024398287,52944.1612906972,91654.1936572777,38710.0323665806,10.8089320432307,7712.759,329.566,2401,31585.748,1940.742,16.2750886001334,1004.44406283788,61.7166571265026,0.195468409963585,4.11591617380166,4.21641665710038,0.865304561848986,0.0484296169552301,0.536487512792602,0.571408111269052,9015.21793782708,10149.5269206749,20767.448984468,22119.2264817517,0.17027784968257,0.191702478106085,0.536487512792602,0.571408111269052,0.302700156481902,0.314531112934523,"1inner"
"West_Services",0.152148765313999,0.11931368985454,0.173846240433875,0.191702478106085,0.459762097331273,0.436946510555246,0.568186546117435,"ma1",15.6574995579629,16.06930595457,0.662452516692655,40266.4028801912,92291.4455497634,52025.0426695721,10.6959835136861,17949.625,1314.168,6438,71355.046,7404.389,9.63685808511681,849.920147698172,88.1947352748496,0.308187923644931,2.24477347513499,4.21641665710038,0.571232030664469,0.247799688650503,0.0579873502061056,0.105974619761645,4804.33310480508,7719.16921655064,3016.79436876806,5513.33411499127,0.11931368985454,0.191702478106085,0.0579873502061056,0.105974619761645,0.614276281909287,0.583349123226796,"1inner"
"Midwest_Goods",0.16462142116825,0.171020842175892,0.407742887323308,0.211192412690575,0.492261416193226,0.603893134483232,0.330113451844724,"ma2",16.8977828102736,17.3600066919858,0.629881305249847,43647.5227201453,91198.6607551234,47551.1380349781,10.7619302194386,9318.707,294.879,5628,42908.008,1945.136,22.0591300556876,573.720841300191,26.0083167310701,0.155326096280686,5.43806819295145,3.73501858925743,0.770545337175957,0.240172326041164,0.10709068562491,0.140907118145017,7464.63609449063,9218.02563123417,5092.28397441052,6700.29382502466,0.171020842175892,0.211192412690575,0.10709068562491,0.140907118145017,0.594463933315764,0.579082839527372,"2"
"Midwest_Services",0.136618716554856,0.129823097681654,0.204243753038957,0.211192412690575,0.51061332430531,0.503083475609704,0.539950447465111,"ma2",15.759532795866,16.17535253562,0.659799195330602,34054.2400230125,90504.7263123055,56450.486289293,10.6132599397728,17314.497,1051.548,14932,69044.54,6636.19,10.4042440014526,352.320190232228,33.8631226048752,0.163095199138774,5.13138832583981,3.73501858925743,0.557233456627154,0.241764296923132,0.0693542764831233,0.125957584728094,4421.02692898204,7191.99711280395,3915.08263371439,7110.36690972575,0.129823097681654,0.211192412690575,0.0693542764831233,0.125957584728094,0.530346547838798,0.502853731136671,"2"
