"broad_market","unc_pt","net_pt","selectioncoef","market_pt","sizeunc_pt","sizenet_pt","sizemarket_pt","ma","ElogWB","ElogVA","labor_share","EWB_pc","EVA_pc","EPi_pc","Ew","workers","firms","markets","workeryears","firmyears","workers_per_firm","workers_per_market","firms_per_market","market_pt_het","beta_het","beta","rho","alpha","PsiFirm","PsiMarket","Rw_firm","Rw_market","Rf_firm","Rf_market","Rw_firm_wageshare","Rw_market_wageshare","Rf_firm_profitshare","Rf_market_profitshare","Rw_firm_share","Rw_market_share","model"
"Midwest_Goods",0.155002150346347,0.153855157194248,0.273604160283117,0.203346232308682,0.403262734942123,0.479022267893006,0.202127600531862,"ma1",16.8977828102736,17.3600066919858,0.629881305249847,43647.5227201453,91198.6607551234,47551.1380349781,10.7619302194386,9318.707,294.879,522,42908.008,1945.136,22.0591300556876,5528.67001675042,250.629558046643,0.158047319882283,5.32721896672986,3.91772081855929,0.71236214166821,0.255586900274416,0.0823548622780643,0.119096966796033,6715.39646924746,8875.55929474915,3916.06742403585,5663.19630766538,0.153855157194248,0.203346232308682,0.0823548622780643,0.119096966796033,0.63165303825093,0.610475857595071,"1inner"
"Midwest_Services",0.132269126532545,0.124136874821784,0.10209716551242,0.203346232308682,0.482521796399657,0.469448956684078,0.597492077662136,"ma1",15.759532795866,16.17535253562,0.659799195330602,34054.2400230125,90504.7263123055,56450.486289293,10.6132599397728,17314.497,1051.548,1820,69044.54,6636.19,10.4042440014526,2582.84228639832,248.248915157863,0.203788955954798,3.90703725977088,3.91772081855929,0.555262123566665,0.246686866516558,0.0623253592046857,0.115285749617109,4227.38693088769,6924.80140281512,3518.29683525937,6507.93662811145,0.124136874821784,0.203346232308682,0.0623253592046857,0.115285749617109,0.545773240751671,0.515516746241307,"1inner"
"Northeast_Goods",0.128080187478645,0.129395756474597,0.119266448640244,0.203346232308682,0.479355896213628,0.505769958755669,0.284298934477357,"ma1",16.3886953807172,16.7996674212059,0.663005468650446,50693.4613893221,107545.252738537,56851.791349215,10.8110643183006,6088.53,232.717,88,26699.951,1498.971,17.8121864932677,20227.2356060606,1135.58409090909,0.1183652528336,7.44842532804637,3.91772081855929,0.58228116017558,0.238453667574962,0.0706523933834449,0.123789318760627,6559.51878478708,10308.3243762043,4016.71512695827,7037.64452144061,0.129395756474597,0.203346232308682,0.0706523933834449,0.123789318760627,0.620213096601661,0.594277808119665,"1inner"
"Northeast_Services",0.111814593857005,0.109576827154585,0.0907267959789031,0.203346232308682,0.356308543820489,0.363695866681552,0.2822720405532,"ma1",15.6231526616779,16.0402269493291,0.658971964646319,44194.9394557935,111126.271847549,66931.3323917557,10.7360144405713,15167.028,1054.944,308,62386.621,6411.649,9.73019904863788,13503.5976190476,1387.80281385281,0.134241720015355,6.44924901055809,3.91772081855929,0.482120670336283,0.259933945181902,0.0461760925372765,0.0995119192474085,4842.74124185484,8986.87442544593,3090.62739816492,6660.46534408985,0.109576827154585,0.203346232308682,0.0461760925372765,0.0995119192474085,0.610426851643538,0.574338805049962,"1inner"
"South_Goods",0.149317213429059,0.139424023828458,0.195145208656164,0.203346232308682,0.385019693235681,0.387520601171729,0.37470497554848,"ma1",16.3820738992734,16.6753867272013,0.745788800636293,42172.3421014174,85152.1569271546,42979.8148257372,10.6984065269051,10215.128,439.641,601,40312.311,2497.237,16.1427653843027,4498.13780406159,278.647288551663,0.190120577789057,4.25981990812968,3.91772081855929,0.634719555140331,0.13338412727474,0.18488149024572,0.266630351259752,5879.83763004991,8575.58687395604,7946.17221546738,11459.7231240654,0.139424023828458,0.203346232308682,0.18488149024572,0.266630351259752,0.425273646970264,0.428023667954372,"1inner"
"South_Services",0.135253076949882,0.127776644655628,0.120980198141836,0.203346232308682,0.483852773032159,0.501812474763779,0.353360893367712,"ma1",15.5794108399581,15.9361734443417,0.699938640378019,35764.0437730022,94210.3362882382,58446.292515236,10.6194086814555,26519.284,1908.178,2098,103227.384,10829.661,9.53191277178482,3315.58373482367,347.840335324725,0.18957545478269,4.27494448659664,3.91772081855929,0.573927787906302,0.197523620424417,0.0944679335014166,0.161239952035343,4569.80951263124,7272.48355336279,5521.30047473366,9423.87740180027,0.127776644655628,0.203346232308682,0.0944679335014166,0.161239952035343,0.452854990021228,0.435572971433269,"1inner"
"West_Goods",0.175589358944154,0.169993308601447,0.137470691514359,0.203346232308682,0.436375519918996,0.448394380408178,0.360965850317617,"ma1",16.4043584084798,16.640664425731,0.789539024398287,52944.1612906972,91654.1936572777,38710.0323665806,10.8089320432307,7712.759,329.566,318,31585.748,1940.742,16.2750886001334,6844.14907908992,420.529144095341,0.210700533399806,3.74607246533397,3.91772081855929,0.802386692812659,0.0487558322356154,0.533965198971728,0.58499726959371,9000.15314893427,10765.9957212065,20669.8101348233,22645.2632403338,0.169993308601447,0.203346232308682,0.533965198971728,0.58499726959371,0.303342240866921,0.322226580375173,"1inner"
"West_Services",0.146548697592685,0.118775797699061,0.121951385103023,0.203346232308682,0.459801427535496,0.442300724872951,0.585806291848929,"ma1",15.6574995579629,16.06930595457,0.662452516692655,40266.4028801912,92291.4455497634,52025.0426695721,10.6959835136861,17949.625,1314.168,1113,71355.046,7404.389,9.63685808511681,4458.85433981129,462.687558582766,0.346513267599892,1.88589238422659,3.91772081855929,0.528049972040698,0.248258825662136,0.0573721536791262,0.11170748611818,4782.67412256648,8188.02131431035,2984.78874320179,5811.58673180894,0.118775797699061,0.203346232308682,0.0573721536791262,0.11170748611818,0.615731829712897,0.584875039882283,"1inner"
"Midwest_Goods",0.12140130507162,0.133277707875023,0.418356249819376,0.20640625748165,0.333890232319958,0.474953327756734,0.137769180278464,"ma2",16.8977828102736,17.3600066919858,0.629881305249847,43647.5227201453,91198.6607551234,47551.1380349781,10.7619302194386,9318.707,294.879,522,42908.008,1945.136,22.0591300556876,5528.67001675042,250.629558046643,0.104889455497165,8.53384680338084,3.84481435883262,0.59122518205208,0.273260523038421,0.0582102057158062,0.102818977075045,5817.24178256394,9009.12181301048,2767.96152703677,4889.15937151071,0.133277707875023,0.20640625748165,0.0582102057158061,0.102818977075045,0.677589286215109,0.648218415889019,"2"
"Midwest_Services",0.134504643305135,0.127021299093496,0.116340875010104,0.20640625748165,0.510613761114807,0.503796162563662,0.562396362625035,"ma2",15.759532795866,16.17535253562,0.659799195330602,34054.2400230125,90504.7263123055,56450.486289293,10.6132599397728,17314.497,1051.548,1820,69044.54,6636.19,10.4042440014526,2582.84228639832,248.248915157863,0.191343870252904,4.22619302451798,3.84481435883262,0.559433253211239,0.244197831349763,0.0658290089356353,0.120112316352058,4325.61380736478,7029.00823453183,3716.07956635882,6780.39866740707,0.127021299093496,0.20640625748165,0.0658290089356353,0.120112316352058,0.537898376167737,0.509001457082485,"2"
